,id,loan_status
0,58645,0
1,58646,0
2,58647,0
3,58648,0
4,58649,0
5,58650,1
6,58651,0
7,58652,0
8,58653,0
9,58654,0
10,58655,0
11,58656,0
12,58657,0
13,58658,0
14,58659,0
15,58660,0
16,58661,0
17,58662,0
18,58663,0
19,58664,0
20,58665,0
21,58666,0
22,58667,0
23,58668,0
24,58669,0
25,58670,0
26,58671,0
27,58672,0
28,58673,1
29,58674,0
30,58675,0
31,58676,0
32,58677,0
33,58678,0
34,58679,0
35,58680,1
36,58681,0
37,58682,0
38,58683,0
39,58684,0
40,58685,0
41,58686,0
42,58687,0
43,58688,0
44,58689,0
45,58690,0
46,58691,0
47,58692,0
48,58693,0
49,58694,0
50,58695,0
51,58696,0
52,58697,0
53,58698,0
54,58699,0
55,58700,0
56,58701,0
57,58702,0
58,58703,0
59,58704,0
60,58705,0
61,58706,0
62,58707,0
63,58708,0
64,58709,1
65,58710,0
66,58711,1
67,58712,0
68,58713,0
69,58714,0
70,58715,0
71,58716,0
72,58717,0
73,58718,0
74,58719,0
75,58720,0
76,58721,0
77,58722,0
78,58723,0
79,58724,0
80,58725,0
81,58726,0
82,58727,0
83,58728,0
84,58729,0
85,58730,0
86,58731,0
87,58732,0
88,58733,0
89,58734,0
90,58735,0
91,58736,0
92,58737,0
93,58738,1
94,58739,0
95,58740,1
96,58741,0
97,58742,0
98,58743,0
99,58744,0
100,58745,0
101,58746,0
102,58747,0
103,58748,0
104,58749,0
105,58750,0
106,58751,0
107,58752,1
108,58753,0
109,58754,0
110,58755,0
111,58756,0
112,58757,0
113,58758,0
114,58759,0
115,58760,0
116,58761,0
117,58762,0
118,58763,1
119,58764,0
120,58765,0
121,58766,0
122,58767,0
123,58768,1
124,58769,0
125,58770,0
126,58771,0
127,58772,0
128,58773,0
129,58774,0
130,58775,1
131,58776,0
132,58777,0
133,58778,0
134,58779,0
135,58780,0
136,58781,0
137,58782,0
138,58783,0
139,58784,0
140,58785,0
141,58786,0
142,58787,0
143,58788,1
144,58789,0
145,58790,0
146,58791,1
147,58792,0
148,58793,0
149,58794,0
150,58795,0
151,58796,0
152,58797,0
153,58798,0
154,58799,1
155,58800,0
156,58801,0
157,58802,1
158,58803,0
159,58804,0
160,58805,0
161,58806,0
162,58807,0
163,58808,0
164,58809,1
165,58810,1
166,58811,0
167,58812,0
168,58813,0
169,58814,0
170,58815,0
171,58816,0
172,58817,0
173,58818,0
174,58819,0
175,58820,0
176,58821,0
177,58822,0
178,58823,0
179,58824,0
180,58825,0
181,58826,0
182,58827,0
183,58828,0
184,58829,0
185,58830,0
186,58831,0
187,58832,0
188,58833,0
189,58834,0
190,58835,1
191,58836,0
192,58837,0
193,58838,0
194,58839,0
195,58840,0
196,58841,1
197,58842,0
198,58843,0
199,58844,0
200,58845,0
201,58846,0
202,58847,1
203,58848,0
204,58849,0
205,58850,0
206,58851,0
207,58852,1
208,58853,0
209,58854,1
210,58855,0
211,58856,0
212,58857,0
213,58858,0
214,58859,0
215,58860,0
216,58861,0
217,58862,0
218,58863,1
219,58864,0
220,58865,0
221,58866,0
222,58867,0
223,58868,0
224,58869,0
225,58870,0
226,58871,0
227,58872,0
228,58873,0
229,58874,1
230,58875,0
231,58876,0
232,58877,0
233,58878,0
234,58879,0
235,58880,0
236,58881,0
237,58882,0
238,58883,1
239,58884,0
240,58885,0
241,58886,0
242,58887,0
243,58888,0
244,58889,1
245,58890,0
246,58891,0
247,58892,0
248,58893,0
249,58894,0
250,58895,0
251,58896,0
252,58897,0
253,58898,0
254,58899,1
255,58900,0
256,58901,0
257,58902,0
258,58903,0
259,58904,0
260,58905,0
261,58906,0
262,58907,0
263,58908,0
264,58909,0
265,58910,0
266,58911,0
267,58912,0
268,58913,0
269,58914,0
270,58915,0
271,58916,0
272,58917,0
273,58918,0
274,58919,0
275,58920,0
276,58921,0
277,58922,0
278,58923,0
279,58924,0
280,58925,0
281,58926,0
282,58927,0
283,58928,0
284,58929,0
285,58930,0
286,58931,1
287,58932,0
288,58933,0
289,58934,0
290,58935,0
291,58936,0
292,58937,0
293,58938,0
294,58939,0
295,58940,0
296,58941,1
297,58942,1
298,58943,0
299,58944,0
300,58945,0
301,58946,0
302,58947,0
303,58948,0
304,58949,0
305,58950,0
306,58951,0
307,58952,0
308,58953,0
309,58954,1
310,58955,0
311,58956,0
312,58957,1
313,58958,1
314,58959,0
315,58960,0
316,58961,0
317,58962,0
318,58963,0
319,58964,0
320,58965,0
321,58966,0
322,58967,0
323,58968,0
324,58969,0
325,58970,0
326,58971,0
327,58972,0
328,58973,1
329,58974,0
330,58975,0
331,58976,0
332,58977,0
333,58978,0
334,58979,0
335,58980,0
336,58981,0
337,58982,0
338,58983,0
339,58984,0
340,58985,0
341,58986,1
342,58987,0
343,58988,0
344,58989,0
345,58990,0
346,58991,0
347,58992,0
348,58993,0
349,58994,0
350,58995,1
351,58996,0
352,58997,0
353,58998,0
354,58999,0
355,59000,0
356,59001,0
357,59002,0
358,59003,0
359,59004,0
360,59005,0
361,59006,0
362,59007,0
363,59008,1
364,59009,0
365,59010,0
366,59011,0
367,59012,0
368,59013,0
369,59014,0
370,59015,0
371,59016,0
372,59017,0
373,59018,0
374,59019,0
375,59020,0
376,59021,0
377,59022,0
378,59023,1
379,59024,0
380,59025,1
381,59026,0
382,59027,0
383,59028,0
384,59029,0
385,59030,0
386,59031,0
387,59032,0
388,59033,0
389,59034,0
390,59035,0
391,59036,0
392,59037,0
393,59038,0
394,59039,0
395,59040,0
396,59041,0
397,59042,0
398,59043,1
399,59044,0
400,59045,0
401,59046,0
402,59047,0
403,59048,0
404,59049,0
405,59050,0
406,59051,0
407,59052,0
408,59053,0
409,59054,0
410,59055,0
411,59056,0
412,59057,1
413,59058,0
414,59059,0
415,59060,0
416,59061,0
417,59062,0
418,59063,0
419,59064,0
420,59065,0
421,59066,0
422,59067,0
423,59068,0
424,59069,0
425,59070,0
426,59071,0
427,59072,0
428,59073,1
429,59074,0
430,59075,0
431,59076,0
432,59077,1
433,59078,0
